task,layer,f1_mean,f1_std,mcc_mean,auc_mean
promoter,0,0.7499,0.0150,0.5023,0.8286
promoter,1,0.7706,0.0304,0.5496,0.8355
promoter,2,0.7776,0.0335,0.5650,0.8465
promoter,3,0.7856,0.0133,0.5859,0.8655
promoter,4,0.8086,0.0052,0.6229,0.8856
promoter,5,0.7929,0.0140,0.5868,0.8786
promoter,6,0.7993,0.0142,0.5960,0.8810
promoter,7,0.7913,0.0178,0.5780,0.8779
promoter,8,0.7861,0.0210,0.5651,0.8735
promoter,9,0.7842,0.0133,0.5628,0.8770
promoter,10,0.7936,0.0213,0.5825,0.8755
promoter,11,0.7956,0.0171,0.5869,0.8761
promoter,12,0.7779,0.0129,0.5516,0.8735
enhancer,0,0.6263,0.0131,0.2491,0.6695
enhancer,1,0.6621,0.0261,0.3104,0.6974
enhancer,2,0.6470,0.0199,0.2916,0.7021
enhancer,3,0.6428,0.0395,0.2899,0.6874
enhancer,4,0.6225,0.0314,0.2468,0.6873
enhancer,5,0.6306,0.0289,0.2513,0.6826
enhancer,6,0.6206,0.0303,0.2389,0.6772
enhancer,7,0.6477,0.0120,0.2826,0.6860
enhancer,8,0.6533,0.0214,0.2895,0.6925
enhancer,9,0.6549,0.0274,0.2917,0.6891
enhancer,10,0.6458,0.0252,0.2674,0.6788
enhancer,11,0.6348,0.0304,0.2455,0.6743
enhancer,12,0.6274,0.0126,0.2515,0.6678
ocr,0,0.5771,0.0421,0.1783,0.6166
ocr,1,0.5894,0.0062,0.1826,0.6182
ocr,2,0.6147,0.0266,0.2316,0.6370
ocr,3,0.6082,0.0213,0.2320,0.6385
ocr,4,0.5743,0.0170,0.1604,0.6157
ocr,5,0.5712,0.0281,0.1408,0.6073
ocr,6,0.5808,0.0135,0.1650,0.6172
ocr,7,0.5805,0.0324,0.1693,0.6179
ocr,8,0.5647,0.0147,0.1313,0.5995
ocr,9,0.5518,0.0332,0.1046,0.5902
ocr,10,0.5545,0.0109,0.1045,0.5902
ocr,11,0.5497,0.0280,0.1047,0.5900
ocr,12,0.5644,0.0263,0.1180,0.5976
coding,0,0.8533,0.0036,0.7116,0.9274
coding,1,0.8857,0.0201,0.7739,0.9537
coding,2,0.8819,0.0018,0.7670,0.9505
coding,3,0.8878,0.0115,0.7780,0.9575
coding,4,0.9084,0.0092,0.8158,0.9672
coding,5,0.9148,0.0103,0.8290,0.9732
coding,6,0.9042,0.0088,0.8090,0.9706
coding,7,0.8961,0.0036,0.7935,0.9678
coding,8,0.8953,0.0021,0.7912,0.9695
coding,9,0.8939,0.0057,0.7890,0.9672
coding,10,0.8949,0.0037,0.7913,0.9673
coding,11,0.8839,0.0028,0.7689,0.9644
coding,12,0.8874,0.0026,0.7756,0.9649
